year,url,file,local_file_date
1992,https://comtrade.un.org/api/get/bulk/C/A/1992/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1992_freq-A_px-H0_pub-20070523_fmt-csv_ex-20151113.zip,2007-05-23
1993,https://comtrade.un.org/api/get/bulk/C/A/1993/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1993_freq-A_px-H0_pub-20060109_fmt-csv_ex-20151113.zip,2006-01-09
1994,https://comtrade.un.org/api/get/bulk/C/A/1994/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1994_freq-A_px-H0_pub-20060109_fmt-csv_ex-20151113.zip,2006-01-09
1995,https://comtrade.un.org/api/get/bulk/C/A/1995/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1995_freq-A_px-H0_pub-20060109_fmt-csv_ex-20151112.zip,2006-01-09
1996,https://comtrade.un.org/api/get/bulk/C/A/1996/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1996_freq-A_px-H0_pub-20060110_fmt-csv_ex-20151113.zip,2006-01-10
1997,https://comtrade.un.org/api/get/bulk/C/A/1997/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1997_freq-A_px-H0_pub-20060110_fmt-csv_ex-20151113.zip,2006-01-10
1998,https://comtrade.un.org/api/get/bulk/C/A/1998/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1998_freq-A_px-H0_pub-20060110_fmt-csv_ex-20151113.zip,2006-01-10
1999,https://comtrade.un.org/api/get/bulk/C/A/1999/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-1999_freq-A_px-H0_pub-20051228_fmt-csv_ex-20151113.zip,2005-12-28
2000,https://comtrade.un.org/api/get/bulk/C/A/2000/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-2000_freq-A_px-H0_pub-20171215_fmt-csv_ex-20171228.zip,2017-12-15
2001,https://comtrade.un.org/api/get/bulk/C/A/2001/ALL/H0?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1992_bulk/zip/type-C_r-ALL_ps-2001_freq-A_px-H0_pub-20171220_fmt-csv_ex-20171228.zip,2017-12-20
