year,url,file,local_file_date
1996,https://comtrade.un.org/api/get/bulk/C/A/1996/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-1996_freq-A_px-H1_pub-20060109_fmt-csv_ex-20151113.zip,2006-01-09
1997,https://comtrade.un.org/api/get/bulk/C/A/1997/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-1997_freq-A_px-H1_pub-20060109_fmt-csv_ex-20151113.zip,2006-01-09
1998,https://comtrade.un.org/api/get/bulk/C/A/1998/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-1998_freq-A_px-H1_pub-20060109_fmt-csv_ex-20151113.zip,2006-01-09
1999,https://comtrade.un.org/api/get/bulk/C/A/1999/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-1999_freq-A_px-H1_pub-20051228_fmt-csv_ex-20151113.zip,2005-12-28
2000,https://comtrade.un.org/api/get/bulk/C/A/2000/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2000_freq-A_px-H1_pub-20171215_fmt-csv_ex-20171228.zip,2017-12-15
2001,https://comtrade.un.org/api/get/bulk/C/A/2001/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2001_freq-A_px-H1_pub-20171220_fmt-csv_ex-20171228.zip,2017-12-20
2002,https://comtrade.un.org/api/get/bulk/C/A/2002/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2002_freq-A_px-H1_pub-20171220_fmt-csv_ex-20171228.zip,2017-12-20
2003,https://comtrade.un.org/api/get/bulk/C/A/2003/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2003_freq-A_px-H1_pub-20171215_fmt-csv_ex-20171228.zip,2017-12-15
2004,https://comtrade.un.org/api/get/bulk/C/A/2004/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2004_freq-A_px-H1_pub-20171220_fmt-csv_ex-20171228.zip,2017-12-20
2005,https://comtrade.un.org/api/get/bulk/C/A/2005/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2005_freq-A_px-H1_pub-20171212_fmt-csv_ex-20171228.zip,2017-12-12
2006,https://comtrade.un.org/api/get/bulk/C/A/2006/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2006_freq-A_px-H1_pub-20171212_fmt-csv_ex-20171228.zip,2017-12-12
2007,https://comtrade.un.org/api/get/bulk/C/A/2007/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2007_freq-A_px-H1_pub-20171212_fmt-csv_ex-20171228.zip,2017-12-12
2008,https://comtrade.un.org/api/get/bulk/C/A/2008/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2008_freq-A_px-H1_pub-20171212_fmt-csv_ex-20171228.zip,2017-12-12
2009,https://comtrade.un.org/api/get/bulk/C/A/2009/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2009_freq-A_px-H1_pub-20171212_fmt-csv_ex-20171228.zip,2017-12-12
2010,https://comtrade.un.org/api/get/bulk/C/A/2010/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2010_freq-A_px-H1_pub-20171207_fmt-csv_ex-20171228.zip,2017-12-07
2011,https://comtrade.un.org/api/get/bulk/C/A/2011/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2011_freq-A_px-H1_pub-20171207_fmt-csv_ex-20171228.zip,2017-12-07
2012,https://comtrade.un.org/api/get/bulk/C/A/2012/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2012_freq-A_px-H1_pub-20171207_fmt-csv_ex-20171228.zip,2017-12-07
2013,https://comtrade.un.org/api/get/bulk/C/A/2013/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2013_freq-A_px-H1_pub-20171207_fmt-csv_ex-20171228.zip,2017-12-07
2014,https://comtrade.un.org/api/get/bulk/C/A/2014/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2014_freq-A_px-H1_pub-20171207_fmt-csv_ex-20171228.zip,2017-12-07
2015,https://comtrade.un.org/api/get/bulk/C/A/2015/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2015_freq-A_px-H1_pub-20171207_fmt-csv_ex-20171228.zip,2017-12-07
2016,https://comtrade.un.org/api/get/bulk/C/A/2016/ALL/H1?token=REPLACE_TOKEN,1_comtrade_data/hs_rev1996_bulk/zip/type-C_r-ALL_ps-2016_freq-A_px-H1_pub-20171207_fmt-csv_ex-20171228.zip,2017-12-07
